术语,定义
机械加工,利用机械力对各种工件进行加工的方法
压力加工,使毛坯材料产生塑性变形或分离而无切削的加工方法
切削加工,利用切削工具从工件上切除多余材料的加工方法
车削,"工件旋转作主运动,车刀作进给运动的切削加工方法"
铣削,"铣刀旋转作主运动,工件或铣刀作进给运动的切削加工方法"
刨削,用刨刀对工件作水平相对直线往复运动的切削加工方法
钻削,用钻头或扩孔钻在工件上加工孔的方法
铰削,"用铰刀从工件孔壁上切除微量金属层,以提高其尺寸精度和降低表面粗糙度的方法"
削,用德钻或德刀刮平孔的端面或切出沉孔的方法
镗削,"镗刀旋转作主运动,工件或镗刀作进给运动的切削加工方法"
插削,用插刀对工件作垂直相对直线往复运动的切削加工方法
拉削,用拉刀加工工件内、外表面的方法
推削,用推刀加工工件内表面的方法
铲削,切出有关带齿工具的切削齿背以获得后面和后角的加工方法
刮削,用刮刀刮除工件表面薄层的加工方法
磨削,用磨具以较高的线速度对工件表面进行加工的方法
研磨,"用研磨工具和研磨剂,从工件上研去一层极薄表面层的精加工方法"
珩磨,"利用珩磨工具对工件表面施加一定压力,珩磨工具同时作相对旋转和直线往复运动,切除工件上极小余量的精加工方法"
超精加工,"用细粒度的磨具对工件施加很小的压力,并作往复振动和慢速纵向进给运动,以实现微量磨削的一种光整加工方法"
抛光,"利用机械、化学或电化学的作用,使工件获得光亮、平整表面的加工方法"
挤压,"用挤压工具以一定的压力作用于金属坯料或工件,使其产生塑性变形,从而将坯料成形或挤光工件表面的加工方法"
滚压,"用滚压工具对金属坯料或工件施加压力,使其产生塑性变形,从而将坯料成形或滚光工件表面的加工方法"
喷丸,"用小直径的弹丸,在压缩空气或离心力的作用下,高速喷射工件,进行表面强化和清理的加工方法"
喷砂,"用高速运行的砂粒喷射工件,进行表面清理、除锈或使其表面粗化的加工方法"
冷作,"在基本不改变材料断面特征的情况下,将金属板材、型材等加工成各种制品的方法"
冲压,使板料经分离或成形而得到制件的加工方法
铆接,借助铆钉形成的不可拆连接
铸造,"将熔融金属浇注、压射或吸入铸型型腔中,待其凝固后而得到一定形状和性能铸件的方法"
锻造,"在加工设备及工(模)具的作用下,使金属坯料或铸锭产生局部或全部的塑性变形,以获得一定几何形状、尺寸和质量的锻件的加工方法"
热处理,"将固态金属或合金在一定介质中加热、保温和冷却,以改变其整体或表面组织,从而获得所需要性能的加工方法"
表面处理,改变工件表面层的机械性能、物理性能或化学性能的加工方法
表面涂覆,"用规定的异己材料,在工件表面上形成涂层的方法"
粉末冶金,将金属粉末(或与非金属粉末的混合物)压制成形和烧结等形成各种制品的方法
注射成形,"将粉末或粒状塑料,加热熔化至流动状态,然后以一定的压力和较高的速度注射到模具内,以形成各种制品的方法"
粘接,借助粘结剂形成的连接
钳加工,"一般在钳台上以手工工具为主,对工件进行各种加工的方法"
电加工,直接利用电能对工件进行加工的方法
电火花加工,"在一定的介质中,通过工具电极之间的脉冲放电的电蚀作用,对工件进行加工的方法"
电解加工,"利用金属工件在电解液中所产生的阳极溶解作用,而进行加工的方法"
电子束加工,"在真空条件下,利用电子枪中产生的电子经加速、聚焦,形成高能量大密度的细电子束以轰击工件被加工部位,使该部位的材料熔化和蒸发,从而进行加工,或利用电子束照射引起的化学变化而进行加工的方法"
离子束加工,"利用离子源产生的离子,在真空中经加速聚焦而形成高速高能的束状离子流,从而对工件进行加工的方法"
等离子加工,"利用高温高速的等离子流使工件的局部金属熔化和蒸发,从而对工件进行加工的方法"
电铸,"利用金属电解沉积,复制金属制品的加工方法"
激光加工,"利用功率密度极高的激光束照射工件的被加工部位,使其材料瞬间熔化或蒸发,并在冲击波作用下,将熔融物质喷射出去,从而对工件进行穿孔、蚀刻、切割;或采用较小能量密度,使加工区域材料熔融粘合,对工件进行焊接"
超声波加工,"利用产生超声振动的工具,带动工件和工具间的磨料悬浮液,冲击和抛磨工件的被加工部位,使其局部材料破坏而成粉末,以进行穿孔、切割和研磨等"
高速高能成形,"利用化学能源、电能源或机械能源瞬时释放的高能量,使材料成形为所需零件的加工方法"
装配,"按规定的技术要求,将零件或部件进行配合和连接,使之成为半成品或成品的工艺过程"
空行程,刀具以非加工进给速度相对工件所完成一次进给运动的工步部分
工位,"为了完成一定的工序部分,一次装夹工件后,工件(或装配单元)与夹具或设备的可动部分一起相对刀具或设备的固定部分所占据的每一个位置"
基准,用来确定生产对象上几何要素间的几何关系所依据的那些点、线、面
设计基准,设计图样上所采用的基准
工艺基准,在工艺过程中所采用的基准
工序基准,在工序图上用来确定本工序所加工表面加工后的尺寸、形状和位置的基准
定位基准,在加工中用作定位的基准
测量基准,测量时所采用的基准
装配基准,装配时用来确定零件或部件在产品中的相对位置所采用的基准
辅助基准,"为满足工艺需要,在工件上专门设计的定位面"
工艺孔,为满足工艺(加工、测量、装配)的需要而在工件上增设的孔
工艺凸台,为满足工艺的需要而在工件上增设的凸台
工艺尺寸,"根据加工的需要,在工艺附图或工艺规程中所给出的尺寸"
工序尺寸,某工序加工应达到的尺寸
尺寸链,互相联系且按一定顺序排列的封闭尺寸组合
工艺尺寸链,在加工过程中的各有关工艺尺寸所组成的尺寸链
加工总余量,毛坯尺寸与零件图的设计尺寸之差
工序余量,相邻两工序的工艺尺寸之差
切入量,为完成切入过程所必须附加的加工长度
切出量,为完成切出过程所必须附加的加工长度
工艺留量,为工艺需要而增加的工件(或毛坯)的尺寸量
切削用量,在切削加工过程中的切削速度、进给量和切削深度的总称
切削速度,"在进行切削加工时,刀具切削刃上的某一点相对于待加工表面在主运动方向上的瞬时速度"
主轴转速,机床主轴在单位时间内的转数
往复次数,"在作直线往复切削运动的机床上,刀具或工件在单位时间内连续完成切削运动的次数"
背吃刀量,一般指工件已加工表面和待加工表面的垂直距离
进给量,"工件或刀具每转或往复一次或刀具每转过一齿时,工件与刀具在进给运动方向上的相对位移"
进给速度,单位时间内工件与刀具在进给运动方向上的相对位移
切削力,"切削加工时,工件材料抵抗刀具切削所产生的阻力"
工序,"一个或一组工人,在一个工作地对同一个或同时对几个工件所连续完成的那一部分工艺过程"
安装,工件(或装配单元)经一次装夹后所完成的那一部分工序
工步,"在加工表面(或装配时的连接表面)和加工(或装配)工具不变的情况下,所连续完成的那一部分工序"
辅助工步,"由人和(或)设备连续完成的一部分工序,该部分工序不改变工件的形状、尺寸和表面粗糙度,但它是完成工步所必须的。如更换刀具等"
工作行程,刀具以加工进给速度相对工件所完成一次进给运动的工步部分
切削功率,"切削加工时,为克服切削力所消耗的功率"
切削热,"在切削加工中,由于被切削材料层的变形、分离及刀具和被切削材料间的摩擦而产生的热量"
切削温度,切削过程中切削区域的温度
切削液,为了提高切削加工效果而使用的液体
产量定额,"在一定生产条件下,规定每个工人在单位时间内应完成的合格品数量"
时间定额,"在一定生产条件下,规定生产一件产品或完成一道工序所需消耗的时间"
作业时间,直接用于制造产品或零、部件所消耗的时间。可分为基本时间和辅助时间两部分
基本时间,直接改变生产对象的尺寸、形状、相对位置、表面状态或材料性质等工艺过程所消耗的时间
辅助时间,为实现工艺过程所必须进行的各种辅助动作所消耗的时间
布置工作地时间,"为使加工正常进行,工人照管工作地(如更换刀具、润滑机床、清理切屑、收拾工具等)所消耗的时间"
休息与生理需要时间,工人在工作班内为恢复体力和满足生理上的需要所消耗的时间
准备与终结时间,"工人为了生产一批产品或零、部件,进行准备和结束工作所消耗的时间"
材料消耗工艺定额,"在一定生产条件下,生产单位产品或零件所需消耗的材料总重量"
材料工艺性消耗,"产品或零件在制造过程中,由于工艺需要而损耗的材料。如铸件的浇注系统、冒口,锻件的烧损量,棒料等的锯口、切口等"
材料利用率,产品或零件的净重占其材料消耗工艺定额的百分比
设备负荷率,设备的实际工作时间占其台时基数的百分比
加工误差,零件加工后的实际几何参数(尺寸、形状和位置)对理想几何参数的偏离程度
加工精度,零件加工后的实际几何参数(尺寸、形状和位置)与理想几何参数的符合程度
加工经济精度,"在日常加工条件下(采用符合质量标准的设备、工艺装备和标准技术等级的工人,不延长加工时间)所能保证的加工精度"
表面粗糙度,"加工表面上具有的较小间距和峰谷所组成的微观几何形状特性,一般由所采用的加工方法和(或)其他因素形成"
工序能力,"工序处于稳定状态时,加工误差正常波动的幅度,通常用6倍的质量特性值分布的标准偏差表示"
工序能力系数,工序能力满足加工精度要求的程度
工艺路线表,描述产品或零、部件工艺路线的一种工艺文件
车间分工明细,按产品各车间应加工(或装配)的零、部件一览表
工艺过程卡片,以工序为单位简要说明产品或零、部件的加工(或装配)过程的一种工艺文件
工艺卡片,"按产品或零、部件的某一工艺阶段编制的一种工艺文件。它以工序为单元,详细说明产品(或零部件)在某一工艺阶段中的工序号、工序名称、工序内容、工艺参数、操作要求以及采用的设备和工艺装备等"
工序卡片,"在工艺过程卡片或工艺卡片的基础上,按每道工序所编制的一种工艺文件。一般具有工序简图,并详细说明该工序的每个工步的加工(或装配)内容、工艺参数、操作要求以及所用设备和工艺装备等"
典型工艺过程卡片,具有相似结构工艺特征的一组零、部件所能通用的工艺过程卡片
典型工艺卡片,具有工艺结构和工艺特征的一组零、部件所通用的工艺卡片
典型工序卡片,具有相似结构和工艺特征的一组零、部件所能通用的工序卡片
调整卡片,对自动、半自动机床或某些齿轮加工机床等进行调整用的一种工艺文件
工艺守则,某一专业工种所通用的一种基本操作规程
工艺附图,附在工艺规程上用以说明产品或零、部件加工或装配的简图或图表
毛坯图,"供制造毛坯用的,表明毛坯材料、形状、尺寸和技术要求的图样"
装配系统图,表明产品零、部件间相互装配关系及装配流程的示意图
专用工艺装备设计任务书,"由工艺人员根据工艺要求,对专用工艺装备的设计提出的一种提示性文件,作为工装设计人员进行工装设计的依据"
专用设备设计任务书,"由主管工艺人员根据工艺要求,对专用设备的设计提出的一种提示性文件,作为设计专用设备的依据"
组合夹具组装任务书,"由工艺人员根据工艺需要,对组合夹具的组装提出的一种提示性文件,作为组装夹具的依据"
工艺关键件明细表,填写产品中所有工艺关键件的图号、名称和关键内容等的一种工艺文件
外协件明细表,填写产品中所有外协件的图号、名称和加工内容等的一种工艺文件
专用工艺装备明细表,填写产品在生产过程中所需要的全部专用工艺装备的编号、名称、使用零(部)件图号等的一种工艺文件
外购工具明细表,"填写产品在生产过程中所需购买的全部刀具、量具等的名称、规格和精度,使用零(部)件图号等的一种工艺文件"
企业标准工具明细表,填写产品在生产过程中所需的全部本企业标准工具的名称、规格与精度、使用零(部)件图号等的一种工艺文件
组合夹具明细表,填写产品在生产过程中所需的全部组合夹具的编号、名称、使用零(部)件图号等的一种工艺文件
工位器具明细表,填写产品在生产过程中所需的全部工位器具的编号、名称、使用零(部)件图号等的一种工艺文件
专用工艺装备,专为某一产品所用的工艺装备
通用工艺装备,能为几种产品所共用的工艺装备
标准工艺装备,已纳入标准的工艺装备
夹具,用以装夹工件(和引导刀具)的装置
模具,用以限定生产对象的形状和尺寸的装置
刀具,能从工件上切除多余材料或切断材料的带刃工具
计量器具,用以直接或间接测出被测对象量值的工具、仪器、仪表等
辅具,用以连接刀具与机床的工具
钳工工具,各种钳工作业所用的工具的总称
工位器具,在工作地或仓库中用以存放生产对象或工具用的各种装置
装夹,将工件在机床上或夹具中定位、夹紧的过程
定位,确定工件在机床上或夹具中占有正确位置的过程
夹紧,"工件定位后将其固定,使其在加工过程中保持定位位置不变的操作"
找正,"用工具(或仪表)根据工件上有关基准,找出工件在划线、加工或装配时的正确位置的过程"
对刀,调整刀具切削刃相对工件或夹具的正确位置的过程
铰孔,用钻孔对工件进行切削加工的方法
堵孔,按工艺要求堵住工件上某些工艺孔
配研,"以试配为基准,修整与其配合的面"
加重,"在产品或零、部件的某一位置上增加重物,使其由不平衡达到平衡的方法"
切重,去掉产品或零、部件上某一部分质量使其由不平衡达到平衡的方法
刮研,"用刮刀从工件表面刮去较高点,再用标准检具(或与其相配的件)检查检验的反复加工过程"
研配,"两个相配合的零件,在其结合面相研磨使其相互研磨,以达到良好接触的过程"
标记,在毛坯或工件上描出规定的记号
去毛刺,清除工件已加工部位周围所形成的刺状物或飞边
倒角,除去工件上大的棱角的过程
砂光,用砂带或砂纸磨光工作表面的过程
除锈,将工件表面上的锈蚀除去的过程
清洗,用清洗剂清除产品或工件上的油污、灰尘等杂物的过程
滚圆,将工件边缘形成圆弧的加工方法
配备,将待装配产品的所有零、部件配备齐全
装配,把零件装配成部件的过程
卷边,将板件边缘成形(或空心制件)的口部进行卷边或咬边的加工方法
铣边,对板件的边缘进行连续的切削加工
矫正(板形),"在焊接前,用外力把制件按预计变形相反的方向强制变形,以补偿加工后制件受热的方法"
矫正,清除材料或制件的弯曲、翘曲、凸凹不平等缺陷的加工方法
校平,消除板材或平板制件的弯曲、局部凸不平等的加工方法
拉伸,"板料或空心料在轴向拉应力作用下,使其产生塑性变形取得所需制件的成形方法"
扩口,将管件或空心制件的端部轴向尺寸扩大的加工方法
缩口,"将管件或空心制件的端部加压,使其径向尺寸缩小的加工方法"
缩径,"将管件或空心制件局部加压,使其径向尺寸缩小的加工方法"
咬缝(咬接),将板料的边缘相互折转和合压紧的连接方法
胀接,利用管子和管板变形来达到紧固和密封的连接方法
弯曲,使工件单边伸长收缩而弯曲成形的方法
折弯,利用放边和收边使板料边缘弯曲的方法
翻边,"将板料周围起弯收边,而中间打凸凹,使之成为半球形或其他所需形状的加工方法"
错位,将坯料的一部分与另一部分相对旋转一定角度的加工过程
剪切,将板料切断的方法
压边,将工件边缘压扁成叠边或压扁成一定几何形状的加工方法
防锈,"在产品装配和清洗后,用防锈剂等将其指定部位(或全部)加以保护的过程"
拆卸,将组装的零、部件或产品拆开的过程
热弯,将板料在热状态下弯曲成形的方法
热压,将板料或工件在热状态下成形的方法
装配尺寸链,各有关装配尺寸所组成的尺寸链
静平衡试验,对某些产品或零、部件在使用前所需预制的静态平衡试验
动平衡试验,调整产品或零、部件使其达到动态平衡的过程
运转试验,"机器装配后,按设计要求进行的运转试验"
空运转试验,"机器或其部件装配后,不加负荷所进行的运转试验"
负荷试验,"机器或其部件装配后,加上负荷所进行的试验"
超负荷试验,"按照技术要求,对机器进行超出制定负荷范围的运转试验"
型式试验,"根据新产品试制鉴定大纲或设计要求,对新产品所规定的各项质量指标所进行的全面试验或检查"
性能试验,为测定产品或其部件的性能指标而进行的各种试验
寿命试验,"按照规定的使用条件(或模拟其使用条件)和要求,对产品或其零、部件的寿命指标所进行的试验"
破坏性试验,"按规定的条件和要求,对产品或其零、部件进行直到破坏为止的试验"
温度试验,"在规定的温度条件下,对产品或其零、部件进行的试验"
压力试验,"在规定的压力条件下,对产品或其零、部件进行的试验"
噪声试验,"按规定的条件和要求,对产品所产生的噪声大小进行测定的试验"
电器试验,"将机器的电气部分安装后,按电气系统性能要求所进行的试验"
气密性试验,"在规定压力下,观测产品或其零、部件对试验液体的渗漏情况"
调整装配法,"在装配时用改变产品中可调整零件的相对位置或选用合适的调整件,以达到装配精度的方法"
修配装配法,"在装配时修去指定零件上预留的修配量,以达到装配精度的方法"
