术语,定义
互换装配法,"在装配时各配合零件不经修理,选择配调整,即可达到装配精度的方法"
分组装配法,"在成批或大量生产中,将产品各配合副的零件按实测尺寸分组,装配时按组进行互换装配,以达到装配精度的方法"
压入,将具有过盈量配合的两个零件压到配合位置的装配过程
热装,"具有过盈量配合的两个零件,装配时先将包容件加热膨大,再将被包容件装入到配合位置"
冷装,"具有过盈量配合的两个零件,装配时先将被包容件用冷却剂冷却,使其尺寸收缩,再装入包容件使其达到配合位置的过程"
试装,为保证产品总装质量而进行的各连接部位的局部试验性装配
吊装,"对大型零、部件,借助起吊装置进行的装配"
整体热处理,对工件整体进行穿透加热的热处理工艺
化学热处理,"将金属或合金工件置于一定温度的活性介质中保温,使一种或几种元素渗入它的表层以改变其化学成分、组织和性能的热处理工艺"
化合物层,"用化学热处理方法形成的整个渗层的最外面一层,此层包括一种或多种渗入元素与基底金属元素形成的化合物"
扩散层,"工件经化学热处理后,渗入的元素全部保持在固溶体内,或者有一部分在基体上析出的那一层"
表面热处理,"仅对工件表层进行热处理,以改变其组织和性能的工艺"
局部热处理,仅对工件的某一部位或某几个部位进行热处理的工艺
预备热处理,为达到工件最终热处理的要求而需要对预备组织所进行的预先热处理
真空热处理,在低于一个大气压的环境中进行加热的热处理工艺
光亮热处理,"工件在加热过程中基本不氧化,使表面保持光亮的热处理工艺"
磁场热处理,在磁场中进行热处理的工艺
可控气氛热处理,"在炉气成分可控制的炉内进行的热处理,在防止工件表面发生化学反应的可控气氛或单一惰性气体的炉内进行的热处理,也可称为保护气氛热处理"
电解液热处理,"在液体电解质溶液中,在作为阴极的工件和阳极之间施加直流电压,使液体电解而通电加热并随后直接在电解液中冷却工件的热处理工艺"
离子轰击热处理,在低于一个大气压的特定气氛中利用工件(阴极)和阳极之间产生的辉光放电进行热处理的工艺
流态床热处理,在悬浮于气流中形成流态化的固体粒子介质中进行加热或冷却热处理的工艺
稳定化处理,"稳定组织,消除残余应力,以使工件形状和尺寸变化保持在规定范围内,而进行的任何一种热处理工艺"
形变热处理,将塑性变形和热处理有机结合以提高材料力学性能的复合工艺
热处理工艺周期,工作或加热炉在热处理时温度随时间的变化过程
加热制度,热处理过程中加热阶段所规定的时间一温度参数
预热,"热处理时为了减少畸变、防止开裂,在加热到最终温度之前先进行一次或数次低于最终温度且逐步增温的预先加热"
升温时间,工件加热到预定的处理温度的时间
加热速度,"金属材料或工件加热时,在给定温度区间内温度随时间的平均增加率"
穿透加热,工件整体达到均匀温度的加热方法
表面加热,仅使工件表面达到所要求温度的加热
控制加热,按预定制度进行的加热
差温加热,有目的地在工作中产生温度梯度的加热
局部加热,仅对工件某一或某些部分进行的加热
纵向移动加热,工件或热源沿工件纵向作连续的相对移动对工件进行的加热
旋转加热,工件或热源进行旋转时对工件的加热
冲击加热,利用重复的、短促的能量进行极快加热
感应加热,利用电磁感应在工件内产生涡流而将工件加热
保温,"工作在规定温度下,恒温保持一定时间的操作"
有效厚度,"工件各部位的壁厚不同时,如按某处壁厚确定加热时间可保证热处理质量,则该处的壁厚即称为工件的有效厚度"
奥氏体化,"将钢铁加热至 Ac3 或 Ac1 点以上以获得完全或部分奥氏体组织的操作称为奥氏体化。如无特殊说明,则指获得完全奥氏体"
可控气氛,成分可控制在预定范围内的炉中气体混合物。采用可控气氛的目的是为了有效地进行渗碳、碳氢共渗等化学热处理以及防止钢件加热时的氧化、脱碳
吸热式气氛,在吸热型发生器内通过不完全燃烧反应形成的气氛
放热式气氛,"将燃料气(天然气、甲烷、丙烷等)按一定比例与空气混合后,经放热反应而制成的气氛"
保护气氛,在给定温度下能保护被加热金属及合金不发生氧化或脱碳的气氛
中性气氛,在给定温度下不与被加热金属及其合金表面起化学反应的气氛
氧化气氛,在给定温度下与被加热金属及其合金表面发生氧化反应的气氛
还原气氛,在给定条件下可以使氧化物还原的气氛
冷却制度,热处理过程中冷却阶段所规定的时间一温度参数
冷却速度,"工件热处理时在冷却曲线的一定区间或在一定的温度时,温度随时间的下降率"
空冷,工件加热后在静止空气中冷却
风冷,工件加热后在快速空气流中冷却
油冷,工件加热后在油中冷却
水冷,工件加热后在水中冷却
亚温淬火,"亚共析钢从 Ac1-Ac3 温度区间进行淬火冷却,以获得马氏体及铁素体组织的淬火工艺"
自冷淬火,"工件局部加热后经奥氏体化,部分热量被迅速传至未加热部分的体积中而淬火冷却的淬火工艺"
冲击淬火,"输入高能量以极大的加热速度使钢件表层加热至奥氏体状态,停止加热后,在极短时间内热量被传入内部而淬火冷却的工艺"
电子束淬火,以电子束作为热源以极快速度加热工件并自冷硬化的淬火工艺
激光淬火,以高能量激光作为能源以极快速度加热工件并自冷硬化的淬火工艺
火焰淬火,应用氧-乙炔(或其他可燃气)火焰对零件表面进行加热随之淬火冷却的工艺
感应加热淬火,"利用感应电流通过工件所产生的热效应,使工件表面、局部或整体加热并进行快速冷却的淬火工艺"
接触电阻加热淬火,"借助与工件接触的电极(高导电材料的滚轮)通电后,因接触电阻而加热工件表面随之快速冷却的淬火工艺"
电解液淬火,"将工件欲淬硬的部分浸入电解液中,零件接阴极,电解液槽接阳极,通电后由于阴极效应而将工件表面加热,到温后断电,工件表面则被电解液冷却硬化的淬火工艺"
形变余热淬火,"热加工成形后,在高温即进行淬冷的淬火工艺。常用的为最热淬火,即将锻件从锻造温度最打到淬火温度,停锻,直接淬火冷却"
深冷处理,钢件淬火冷却到室温后继续在0℃以下的介质中冷却的热处理工艺。也称为冷处理
淬硬性,钢在理想条件下进行淬火硬化所能达到的最高硬度的能力
摔透性,在规定条件下决定钢材淬硬深度和硬度分布的特性
淬硬层,"钢件从奥氏体状态急冷硬化的表面层,一般以淬硬有效深度来定义"
有效淬硬深度,从淬硬的工件表面量至规定硬度值处的垂直距离
回火,"钢件淬硬后,再加热到 Ac1 点以下的某一温度,保温一定时间,然后冷却到室温的热处理工艺"
真空回火,钢件在预先抽到低于一个大气压的炉中进行充惰性气体的回火
加压回火,淬硬件进行回火的同时施加压力以校正淬火冷却畸变
自热回火,利用局部或表层被淬硬的工件内部的余热使淬硬部分回火的工艺
专用工艺装备,专为某一产品所用的工艺装备
通用工艺装备,能为几种产品所共用的工艺装备
标准工艺装备,已纳入标准的工艺装备
夹具,用以装夹工件(和引导刀具)的装置
模具,用以限定生产对象的形状和尺寸的装置
刀具,能从工件上切除多余材料或切断材料的带刃工具
计量器具,用以直接或间接测出被测对象量值的工具、仪器、仪表等
辅具,用以连接刀具与机床的工具
钳工工具,各种钳工作业所用的工具的总称
工位器具,在工作地或仓库中用以存放生产对象或工具用的各种装置
装夹,将工件在机床上或夹具中定位、夹紧的过程
定位,确定工件在机床上或夹具中占有正确位置的过程
夹紧,"工件定位后将其固定,使其在加工过程中保持定位位置不变的操作"
找正,"用工具(或仪表)根据工件上有关基准,找出工件在划线、加工或装配时的正确位置的过程"
对刀,调整刀具切削刃相对工件或夹具的正确位置的过程
粗加工,"从坯料上切除较多余量,所能达到的精度和表面粗糙度都比较低的加工过程"
半精加工,在粗加工和精加工之间所进行的切削加工过程
精加工,"从工件上切除较少余量,所得精度和表面粗糙度都比较高的加工过程"
光整加工,"精加工后,从工件上不切除或切除极薄金属层,用以降低工件表面粗糙度或强化其表面的加工过程"
超精密加工,"按照超稳定、超微量切除等原则,实现加工尺寸误差和形状误差在0.1μm以下的加工技术"
试切法,"通过试切一测量一调整一再试切,反复进行到被加工尺寸达到要求为止的加工方法"
调整法,"先调整好刀具和工件在机床上的相对位置,并在一批零件的加工过程中保持这个位置不变,以保证工件被加工尺寸的方法"
定尺寸刀具法,用刀具的相应尺寸来保证工件被加工部位尺寸的方法
展成法(滚切法),利用工件和刀具作展成切削运动进行加工的方法
仿形法,刀具按照仿形装置进给对工件进行加工的方法
成形法,利用成形刀具对工件进行加工的方法
配作,"以已加工件为基准,加工与其相配的另一工件,或将两个(或两个以上)工件组合在一起进行加工的方法"
研孔,用研磨方法加工工件的孔
刮孔,用刮削方法加工工件的孔
挤孔,用挤压方法加工工件的孔
滚压孔,用滚压方法加工工件的孔
冲孔,用冲模在工件或板料上冲切孔的方法
激光打孔,用激光加工原理加工工件的孔
电火花打孔,用电火花加工原理加工工件的孔
超声波打孔,用超声波加工原理加工工件的孔
电子束打孔,用电子束加工原理加工工件的孔
车外圆,用车削方法加工工件的外圆表面
磨外圆,用磨削方法加工工件的外圆表面
珩磨外圆,用珩磨方法加工工件的外圆表面
研磨外圆,用研磨方法加工工件的外圆表面
抛光外圆,用抛光方法加工工件的外圆表面
滚压外圆,用滚压方法加工工件的外圆表面
车平面,用车削方法加工工件的平面
铣平面,用铣削方法加工工件的平面
刨平面,用刨削方法加工工件的平面
磨平面,用磨削方法加工工件的平面
珩平面,用珩磨方法加工工件的平面
刮平面,用刮削方法加工工件的平面
拉平面,用拉削方法加工工件的平面
端平面,用德削方法将工件的孔口周围切削成垂直于孔的平面
研平面,用研磨的方法加工工件的平面
抛光平面,用抛光方法加工工件的平面
车槽,用车削方法加工工件的槽
铣槽,用铣削方法加工工件的槽或键槽
刨槽,用刨削方法加工工件的槽
插槽,用插削方法加工工件的槽或键槽
套螺纹,用板牙或螺纹切头加工工件的螺纹
磨螺纹,用单线或多线砂轮磨削工件的螺纹
珩螺纹,用珩磨工具珩磨工件的螺纹
研螺纹,用螺纹研磨工具研磨工件的螺纹
铣齿,用铣刀或铣刀盘按成形法或展成法加工齿轮或齿条等的齿面
刨齿,用刨齿刀加工直齿圆柱齿轮、锥齿轮或齿条等的齿面
插齿,用插齿刀按展成法或成形法加工内、外齿轮或齿条等的齿面
滚齿,用齿轮滚刀按展成法加工齿轮、蜗轮等的齿面
剃齿,用剃齿刀对齿轮或蜗轮等的齿面进行精加工
珩齿,用珩磨轮对齿轮或蜗轮等的齿面进行精加工
磨齿,用砂轮按展成法或成形法磨削齿轮或齿条等的齿面
拉齿,用拉刀或拉刀盘加工内、外齿轮等的齿面
研齿,用具有齿形的研轮与被研齿轮或一对被研齿轮对滚研磨，以进行齿面的加工
轧齿,用具有齿形的轧轮或齿条作为工具，轧制出齿轮的齿形
挤齿,用挤轮与齿轮按无侧隙啮合的方式对滚，以精加工齿轮的齿面
冲齿轮,用冲模冲制齿轮
铸齿轮,用铸造方法获得齿轮
车成形面,用成形车刀、车刀按成形法或仿形法等车削工件的成形面
铣成形面,用成形铣刀、铣刀按成形法或仿形法等铣削工件的成形面
刨成形面,用成形刨刀、刨刀按成形法或仿形法等刨削工件的成形面
磨成形面,用成形砂轮、砂轮按成形法或仿形法等磨削工件的成形面
抛光成形面,用抛光方法加工工件的成形面
电加工成形面,用电火花成形、电解成形等方法加工工件的成形面
滚花,用滚花工具在工件表面上滚压出花纹的加工
倒角,把工件的棱角切削成一定斜面的加工
倒圆角,把工件的棱角切削成圆弧面的加工
钻中心孔,用中心孔钻在工件的端面加工定位孔
磨中心孔,用锥形砂轮磨削工件的中心孔
研中心孔,用研磨方法精加工工件的中心孔
挤压中心孔,用硬质合金多棱顶尖，挤光工件的中心孔
切断,把坯料或工件切成两段（或数段）的加工方法
排料,在板料或条料上合理安排每个坯件下料位置的过程
放样,根据构件图样，用1:1的比例（或一定的比例）在放样台（或平台）上画出其所需图形的过程
展开,将构件的各个表面依次摊平在一个平面的过程
号料,根据图样，或利用样板、样杆等直接在材料上划出构件形状和加工界线的过程
切割,把板材或型材等切成所需形状和尺寸的坯料或工件的过程
剪切,通过两剪刃的相对运动，切断材料的加工方法
弯形,将坯料弯成所需形状的加工方法
压弯,用模具或压弯设备将坯料弯成所需形状的加工方法
拉弯,坯料在受拉状态下沿模具弯曲成形的方法
回归,"经固溶热处理的合金时效硬化后,在稍高于时效(低于固溶热处理)温度进行短时间加热而引起的性能复原的现象"
氧化,"金属加热时,介质中的氧、二氧化碳和水等与金属反应生成氧化物的过程"
脱碳,"加热时由于气体介质和钢铁表层碳的作用,使表层含碳量降低的现象"
炭黑,"热处理时,附着到钢件、炉壁、夹具等表面上形成的无定形碳"
淬火冷却开裂,淬火冷却时淬火应力过大超过断裂强度时在工件上形成裂纹的现象
淬火冷却畸变,工件的原始尺寸或形状于淬火冷却时发生人们所不希望的变化
尺寸畸变,"工件在热处理时,由于新形成组织(或相)与原始组织(或相)的比容不同而引起人们所不希望的尺寸变化"
形状畸变,工件在热处理时所发生的人们不希望的形状变化
淬火冷却应力,"工件淬火冷却时,由于不同部位的温度差异及组织转变的不同时性所引起的应力"
热应力,"工件在加热和(或)冷却时,由于不同部位存在着温度差别而导致热胀和(或)冷缩的不一致所引起的应力"
相变应力,"热处理过程中,由于工件各部位相转变的不同时性所引起的应力"
残余应力,工件在没有外力作用、各部位也没有温度差的情况下而存留在工件内的应力
软点,钢材或钢件淬火硬化后表面硬度偏低的局部小区域
过烧,金属或合金的加热温度达到其固相线附近时晶界氧化和开始部分熔化的现象
过热,"金属或合金在热处理加热时,由于温度过高,晶粒长得很大,以致性能显著降低的现象"
偏析,合金中合金元素、夹杂物或气孔等分布不均匀的现象
冷脆,"在低温(一般指100℃以下),钢的冲击韧度随温度的降低而急剧下降的现象"
蓝脆,"钢在200-300℃(表面氧化膜呈蓝色)时抗拉强度及硬度比常温的高,塑性及韧度比常温的低的现象"
热脆,有些合金在接近熔点的温度受到应力或形变时沿晶界开裂的现象
氢脆,金属或合金因吸收氢而引起的韧度降低现象
白点,"白点是钢中因氢的析出而引起的一种缺陷。在纵向断口上,它呈现接近圆形或椭圆形的银白色斑点;在侵蚀后的宏观磨片上呈现发裂"
渗碳,"为了增加钢件表层的含碳量和一定的碳浓度梯度,将钢件在渗碳介质中加热并保温使碳原子渗入表层的化学热处理工艺"
固体渗碳,将工件放在填充粒状渗碳剂的密封箱中进行渗碳的工艺
青剂渗碳,工件表面以膏状渗碳剂涂覆进行渗碳的工艺
盐浴渗碳(液体渗碳),在熔融盐浴渗碳剂中进行渗碳的工艺
气体渗碳,工件在气体渗碳剂中进行渗碳的工艺
滴注式渗碳(滴液式渗碳),将苯、醇、煤油等液体渗碳剂直接滴入炉内裂解进行气体渗碳的工艺
离子渗碳(辉光放电渗碳),"在低于一个大气压的渗碳气氛中,利用工件(阴极)和阳极之间产生的辉光放电进行渗碳的工艺"
流态床渗碳,在悬浮于气流中形成流态化的固体颗粒渗碳介质中进行渗碳的工艺
电解渗碳,在作为阴极的被处理件和在熔盐浴中的石墨阳极之间通以电流进行渗碳的工艺
真空渗碳,在低于一个大气压的条件下进行气体渗碳的工艺
高温渗碳,在950℃以上进行渗碳的工艺
局部渗碳,仅对工件表面某一部分或某些区域进行的渗碳
复碳,"由于热处理或其他工序引起钢件表面脱碳后,为恢复初始碳含量而进行的渗碳处理"
碳势(碳位),碳势是指表征含碳气氛在一定温度下改变钢件表面含碳量能力的参数。通常可用低碳钢管在含碳气氛中的平衡含碳量来表示
渗碳层,渗碳件中含碳量高于原材料的表层
渗碳层深度,由渗碳工件表面向内至规定碳浓度处的垂直距离
有效渗碳硬化层深度,渗碳淬火后的工件由其表面测定到规定硬度(通常为550HV1)处的垂直距离
渗氮(氮化),"在一定温度下(一般在Ac1温度下),使活性氮原子渗入工件表面的化学热处理工艺"
液体渗氮,在熔盐渗氮剂中进行渗氮的工艺
气体渗氮,在气体介质中进行渗氮的工艺
离子渗氮(离子氮化),"在低于一个大气压的渗氮气氛中,利用工件(阴极)和阳极之间产生的辉光放电进行渗氮的工艺"
一段渗氮,在一个温度下进行渗氮的工艺
多段渗氮(多段氮化),将渗氮过程分在两个或三个温度阶段保温渗氮的工艺
退氮(脱氮),从渗氮件表层去除过剩的氮进行的化学热处理工艺
氮化物,"氮与金属元素形成的化合物。渗氮时常见的氮化物有γ-Fe4N, ε-Fe2-3N, ζ-Fe2N等"
氮势,表征含氮介质在给定温度对工件渗氮或退氮到某一给定表面氮含量的能力的参数
渗氮层深度,从渗氮件表面沿垂直方向测至与基体组织有明显的分界处为止的距离
